F         RC        PS
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         2       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         2       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         1       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         2       5.3     0.040
         1       5.3     0.050
         1       5.3     0.050
         2       5.3     0.050
         2       5.3     0.050
         1       5.3     0.050
         2       5.3     0.050
         1       5.3     0.050
         2       5.3     0.050
         2       5.3     0.060
         1       5.4     0.020
         1       5.4     0.020
         1       5.4     0.020
         1       5.4     0.020
         1       5.4     0.020
         2       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         2       5.4     0.030
         2       5.4     0.030
         2       5.4     0.030
         2       5.4     0.030
         2       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         1       5.4     0.030
         2       5.4     0.030
         2       5.4     0.030
         2       5.4     0.030
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         2       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         1       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         2       5.4     0.040
         1       5.4     0.050
         1       5.4     0.050
         1       5.4     0.050
         1       5.4     0.050
         2       5.4     0.050
         2       5.4     0.050
         1       5.4     0.050
         2       5.4     0.050
         2       5.4     0.050
         1       5.4     0.050
         1       5.4     0.050
         2       5.4     0.060
         2       5.4     0.060
         1       5.4     0.060
         1       5.4     0.060
         1       5.4     0.060
         1       5.4     0.060
         1       5.4     0.060
         2       5.4     0.060
         1       5.5     0.020
         1       5.5     0.030
         2       5.5     0.030
         1       5.5     0.030
         2       5.5     0.030
         2       5.5     0.030
         2       5.5     0.030
         2       5.5     0.030
         1       5.5     0.030
         1       5.5     0.030
         1       5.5     0.030
         2       5.5     0.030
         2       5.5     0.030
         1       5.5     0.030
         1       5.5     0.030
         1       5.5     0.030
         2       5.5     0.030
         2       5.5     0.030
         2       5.5     0.030
         1       5.5     0.030
         1       5.5     0.030
         1       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         1       5.5     0.040
         1       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         2       5.5     0.040
         1       5.5     0.050
         1       5.5     0.050
         1       5.5     0.050
         1       5.5     0.050
         1       5.5     0.050
         1       5.5     0.050
         1       5.5     0.050
         1       5.5     0.050
         2       5.5     0.050
         1       5.5     0.050
         2       5.5     0.050
         2       5.5     0.050
         1       5.5     0.050
