         f          x          y
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    1.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    2.0000     4.9000     0.0300
    1.0000     4.9000     0.0400
    2.0000     4.9000     0.0400
    2.0000     4.9000     0.0400
    2.0000     4.9000     0.0400
    1.0000     4.9000     0.0400
    2.0000     4.9000     0.0400
    1.0000     4.9000     0.0400
    1.0000     4.9000     0.0400
    2.0000     4.9000     0.0500
    1.0000     5.0000     0.0100
    1.0000     5.0000     0.0200
    2.0000     5.0000     0.0200
    1.0000     5.0000     0.0200
    2.0000     5.0000     0.0200
    2.0000     5.0000     0.0200
    2.0000     5.0000     0.0200
    1.0000     5.0000     0.0200
    1.0000     5.0000     0.0200
    1.0000     5.0000     0.0200
    1.0000     5.0000     0.0200
    1.0000     5.0000     0.0200
    1.0000     5.0000     0.0200
    1.0000     5.0000     0.0200
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    2.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
    1.0000     5.0000     0.0300
